- Loading control control.mo: class peersim.reports.MemoryObserver
control.mo: max=1908932608, total=61014016, free=28483664
control.mo: max=1908932608, total=76939264, free=50027184
control.mo: max=1908932608, total=76939264, free=47513232
control.mo: max=1908932608, total=76939264, free=45660896
control.mo: max=1908932608, total=76939264, free=43625240
control.mo: max=1908932608, total=76939264, free=40609616
control.mo: max=1908932608, total=76939264, free=38508592
control.mo: max=1908932608, total=76939264, free=35438384
control.mo: max=1908932608, total=76939264, free=33112448
control.mo: max=1908932608, total=76939264, free=30507816
control.mo: max=1908932608, total=76939264, free=28819792
control.mo: max=1908932608, total=76939264, free=26237368
control.mo: max=1908932608, total=76939264, free=24967656
control.mo: max=1908932608, total=76939264, free=53777768
control.mo: max=1908932608, total=76939264, free=51659776
control.mo: max=1908932608, total=76939264, free=49653400
control.mo: max=1908932608, total=76939264, free=47076840
control.mo: max=1908932608, total=76939264, free=45012040
control.mo: max=1908932608, total=76939264, free=43057296
control.mo: max=1908932608, total=76939264, free=41301104
control.mo: max=1908932608, total=76939264, free=39925904
control.mo: max=1908932608, total=76939264, free=38725176
control.mo: max=1908932608, total=76939264, free=37046672
control.mo: max=1908932608, total=76939264, free=35640632
control.mo: max=1908932608, total=76939264, free=33335768
control.mo: max=1908932608, total=76939264, free=30807680
control.mo: max=1908932608, total=76939264, free=29205144
control.mo: max=1908932608, total=76939264, free=26084392
control.mo: max=1908932608, total=76939264, free=23780320
control.mo: max=1908932608, total=119078912, free=93160368
control.mo: max=1908932608, total=119078912, free=91356832
control.mo: max=1908932608, total=119078912, free=89705784
control.mo: max=1908932608, total=119078912, free=87802880
control.mo: max=1908932608, total=119078912, free=84875856
control.mo: max=1908932608, total=119078912, free=83356416
control.mo: max=1908932608, total=119078912, free=81886344
control.mo: max=1908932608, total=119078912, free=80953416
control.mo: max=1908932608, total=119078912, free=78861056
control.mo: max=1908932608, total=119078912, free=76612984
control.mo: max=1908932608, total=119078912, free=74650456
control.mo: max=1908932608, total=119078912, free=72852760
control.mo: max=1908932608, total=119078912, free=71384408
control.mo: max=1908932608, total=119078912, free=69949192
control.mo: max=1908932608, total=119078912, free=67861928
control.mo: max=1908932608, total=119078912, free=66056600
control.mo: max=1908932608, total=119078912, free=64228568
control.mo: max=1908932608, total=119078912, free=61974656
control.mo: max=1908932608, total=119078912, free=59345544
control.mo: max=1908932608, total=119078912, free=57958088
control.mo: max=1908932608, total=119078912, free=55497384
control.mo: max=1908932608, total=119078912, free=53989208
control.mo: max=1908932608, total=119078912, free=51198112
control.mo: max=1908932608, total=119078912, free=47934944
control.mo: max=1908932608, total=119078912, free=46419840
control.mo: max=1908932608, total=119078912, free=44492232
control.mo: max=1908932608, total=119078912, free=42610392
control.mo: max=1908932608, total=119078912, free=40761560
control.mo: max=1908932608, total=119078912, free=38796440
